ico couple,date,higherEx,lowerEx,tradeValueMargin,tradeValueMarginPct,minTradbleQtty,tradeValueBuy,tradeValueSell
iota_btc-IOTABTC,2018-01-15 19:51:51,gateIo,binance,2.9201489199999845E-5,0.017938295410721075,6.278,0.0016278854,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:51:56,gateIo,binance,2.403561358600002E-4,0.10432971767059014,17.723,0.0023038127699999997,0.0025538843
ada_btc-ADABTC,2018-01-15 19:52:01,gateIo,binance,0.004954476072091789,0.13466600660065997,607.10964078,0.036790844231268,0.0419027074066356
bcd_btc-BCDBTC,2018-01-15 19:52:02,binance,gateIo,0.018210201000000002,4.026720901126408,2.83,0.0045223400000000006,0.02278716
iota_btc-IOTABTC,2018-01-15 19:52:09,gateIo,binance,2.939020588000015E-5,0.018056311952790623,6.278,0.0016276970599999998,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:52:16,gateIo,binance,2.4053372032000026E-4,0.10441483305123878,17.723,0.0023036355399999996,0.0025538843
ada_btc-ADABTC,2018-01-15 19:52:31,gateIo,binance,0.0011987535903068445,0.11856718388907235,166.89224123,0.0101103319737134,0.0113520102484646
bcd_btc-BCDBTC,2018-01-15 19:52:32,binance,gateIo,0.031681446588,3.9823615819209035,4.994,0.007955442,0.039732263999999996
iota_btc-IOTABTC,2018-01-15 19:52:39,gateIo,binance,3.108865600000003E-5,0.01911969111969114,6.278,0.0016260019999999999,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:52:44,gateIo,binance,2.4053372032000026E-4,0.10441483305123878,17.723,0.0023036355399999996,0.0025538843
ada_btc-ADABTC,2018-01-15 19:53:01,gateIo,binance,0.004370066399049231,0.14196038296467475,508.14961919,0.0307837039305302,0.0352859095565536
bcd_btc-BCDBTC,2018-01-15 19:53:03,binance,gateIo,0.08126956397465639,3.9668453865336653,12.77257002,0.02048720231208,0.10200174417972
iota_btc-IOTABTC,2018-01-15 19:53:09,gateIo,binance,3.121446711999987E-5,0.019198548150436246,6.278,0.00162587644,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:53:14,gateIo,binance,2.400009669399997E-4,0.10415952619029292,17.723,0.00230416723,0.0025538843
ada_btc-ADABTC,2018-01-15 19:53:31,gateIo,binance,0.0014909412010383203,0.13795902858086911,178.54172018,0.0108071303224954,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:53:32,binance,gateIo,0.031844040000000004,3.970578553615961,5.0,0.00802,0.03996
iota_btc-IOTABTC,2018-01-15 19:53:38,gateIo,binance,3.737921200000022E-5,0.0230775193798451,6.278,0.0016197239999999997,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:53:44,gateIo,binance,2.440854095200003E-4,0.106119895207274,17.723,0.0023000909399999996,0.0025538843
ada_btc-ADABTC,2018-01-15 19:54:01,gateIo,binance,0.0014891522130021167,0.13777073009580457,178.54172018,0.0108089157396972,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:54:02,binance,gateIo,0.07502084307825302,4.02942641509434,11.70958725,0.0186182437275,0.09386405139600001
iota_btc-IOTABTC,2018-01-15 19:54:10,gateIo,binance,3.737921200000022E-5,0.0230775193798451,6.278,0.0016197239999999997,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:54:16,gateIo,binance,2.4337507168000017E-4,0.10577846248651988,17.723,0.0023007998599999997,0.0025538843
ada_btc-ADABTC,2018-01-15 19:54:31,gateIo,binance,0.0014927301890745237,0.13814738929279588,178.54172018,0.0108053449052936,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:54:32,binance,gateIo,0.009611667,4.024986180904523,1.5,0.0023880000000000004,0.012028500000000001
iota_btc-IOTABTC,2018-01-15 19:54:38,gateIo,binance,3.7505023120000056E-5,0.023156988913869327,6.278,0.0016195984399999998,0.00166367
ada_btc-ADABTC,2018-01-15 19:55:01,gateIo,binance,5.152559600000004E-4,0.1372062076935778,62.0,0.00375534,0.00428668
bcd_btc-BCDBTC,2018-01-15 19:55:02,binance,gateIo,0.015263678499999997,4.083108005082591,2.375,0.0037382500000000003,0.0190475
iota_btc-IOTABTC,2018-01-15 19:55:10,gateIo,binance,3.8637323200000125E-5,0.02387276958882863,6.278,0.0016184683999999998,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:55:16,gateIo,binance,2.490577744000001E-4,0.10851583011583016,17.723,0.0022951284999999997,0.0025538843
ada_btc-ADABTC,2018-01-15 19:55:31,gateIo,binance,0.0011954090697925952,0.11819735973597364,166.89224123,0.010113669818538,0.0113520102484646
bcd_btc-BCDBTC,2018-01-15 19:55:32,binance,gateIo,0.05817318383800002,4.103349936143041,9.053,0.014176998,0.07252358300000002
iota_btc-IOTABTC,2018-01-15 19:55:39,gateIo,binance,3.8637323200000125E-5,0.02387276958882863,6.278,0.0016184683999999998,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:55:44,gateIo,binance,2.476370987200003E-4,0.10783022071307316,17.723,0.0022965463399999995,0.0025538843
ada_btc-ADABTC,2018-01-15 19:56:01,gateIo,binance,0.0014784182847848945,0.1366422442244225,178.54172018,0.010819628242908,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:56:02,binance,gateIo,0.022491122339999996,4.100235143769967,3.505,0.005485325,0.028043504999999996
iota_btc-IOTABTC,2018-01-15 19:56:09,gateIo,binance,3.870022876000015E-5,0.02391256449047684,6.278,0.0016184056199999998,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:56:15,gateIo,binance,2.4568366966000004E-4,0.10688888888888892,17.723,0.00229849587,0.0025538843
ada_btc-ADABTC,2018-01-15 19:56:31,gateIo,binance,0.0014819962608573032,0.13701815780785762,178.54172018,0.0108160574085044,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:56:32,binance,gateIo,0.027973461607999996,4.109395646606914,4.358,0.006807196,0.034864
iota_btc-IOTABTC,2018-01-15 19:56:39,gateIo,binance,3.895185100000005E-5,0.02407177497575173,6.278,0.0016181544999999999,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:56:44,gateIo,binance,2.492353588599997E-4,0.10860159085643666,17.723,0.00229495127,0.0025538843
ada_btc-ADABTC,2018-01-15 19:57:01,gateIo,binance,0.0014819962608573032,0.13701815780785762,178.54172018,0.0108160574085044,0.012344374533245201
bcd_btc-BCDBTC,2018-01-15 19:57:02,binance,gateIo,0.137229475184,4.092278205128205,21.496,0.033533759999999996,0.17117264799999998
iota_btc-IOTABTC,2018-01-15 19:57:09,gateIo,binance,3.8637323200000125E-5,0.02387276958882863,6.278,0.0016184683999999998,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:57:14,gateIo,binance,2.4959052778000015E-4,0.10877315208156338,17.723,0.0022945968099999997,0.0025538843
ada_btc-ADABTC,2018-01-15 19:57:31,gateIo,binance,0.0011146357600000016,0.13852429752066137,133.0,0.0080465,0.009195620000000002
iota_btc-IOTABTC,2018-01-15 19:57:39,gateIo,binance,3.8637323200000125E-5,0.02387276958882863,6.278,0.0016184683999999998,0.00166367
